id,genres,name,platforms,rating,companies,release_date
10121,Sport,Sensible World of Soccer,"DOS, Amiga",90.261389603949,"Renegade Software, Sensible Software, Wave Software, Virgin Interactive Entertainment, Inc.",1994-05-01
113119,"Simulator, Adventure",The Stanley Parable: Ultra Deluxe,"Linux, PC (Microsoft Windows), Mac, iOS, PlayStation 4, Xbox One, Nintendo Switch, PlayStation 5, Xbox Series X|S",90.23372557595292,"Crows Crows Crows, 22nd Century Toys",2022-04-27
2276,"Puzzle, Adventure",The Legend of Zelda: The Wind Waker HD,Wii U,90.14856600506431,"Nintendo, HexaDrive, Nintendo EAD Software Development Group No.3",2013-09-26
221285,"Point-and-click, Puzzle, Visual Novel",Phoenix Wright: Ace Attorney,"PC (Microsoft Windows), Android, Nintendo 3DS, iOS, PlayStation 4, Xbox One, Nintendo Switch",90.13503752918943,Capcom,2013-05-30
1229,"Role-playing (RPG), Adventure",Xenosaga Episode III: Also sprach Zarathustra,PlayStation 2,90.12448451972807,"Monolith Soft, Namco Bandai Games",2006-07-06
7464,Role-playing (RPG),Tales of Symphonia Chronicles,PlayStation 3,90.08825441995481,"tri-Crescendo, Namco Bandai Games",2013-10-10
4833,"Simulator, Adventure",Endless Ocean: Blue World,Wii,90.08773961360879,"Arika, Nintendo",2009-09-17
26834,"Role-playing (RPG), Strategy, Turn-based strategy (TBS), Tactical, Visual Novel",Utawarerumono: Mask of Truth,"PC (Microsoft Windows), PlayStation 3, PlayStation Vita, PlayStation 4, Nintendo Switch",90.07076310236017,"Atlus USA, Deep Silver, Aquaplus, DMM GAMES, Shiravune",2016-09-21
184,"Point-and-click, Puzzle, Adventure",Indiana Jones and the Fate of Atlantis,"Linux, PC (Microsoft Windows), DOS, Mac, Amiga",90.06872674582632,"U.S. Gold, LucasArts, Disney Interactive",1992-06-01
38934,"Fighting, Shooter, Racing, Adventure",Gangstar Vegas,"Android, iOS",90.0,Gameloft,2013-05-10
58406,Simulator,Doomsday Clicker,"Android, iOS",90.0,PikPok,2016-03-22
86994,Puzzle,CodyCross: Crossword Puzzles,"Android, iOS",90.0,Fanatee,2017-03-08
88563,"Platform, Adventure, Arcade",Croc's World 3,"PC (Microsoft Windows), PlayStation 4, Windows Phone, Nintendo Switch",90.0,Sprakelsoft,2015-09-14
89146,Simulator,Monster High: Beauty Shop,"Android, iOS",90.0,"crazy labs, Crazy Labs by TabTale",2017-10-26
18058,"Role-playing (RPG), Simulator, Adventure",Kim Kardashian: Hollywood,"Android, iOS",90.0,glu,2014-06-24
93901,"Shooter, Racing, Sport, Adventure",Grand Theft Auto V: Premium Online Edition & Whale Shark Card Bundle,"PC (Microsoft Windows), PlayStation 3, Xbox One",90.0,"Rockstar Games, Take-Two Interactive",2016-12-31
89485,Puzzle,Picture Cross,iOS,90.0,AppyNation,2015-05-14
34670,"Platform, Adventure, Indie, Arcade",Eggggg: The Platform Puker,"Linux, PC (Microsoft Windows), Mac, iOS, Nintendo Switch",90.0,Hyper Games,2016-10-19
88881,"Simulator, Adventure",Pocket Build,"Android, iOS",90.0,moonbear,2017-11-01
78127,"Fighting, Arcade",ACA Neo Geo: Real Bout Fatal Fury Special,"PC (Microsoft Windows), PlayStation 4, Xbox One, Nintendo Switch",90.0,"SNK, HAMSTER",2017-12-14
20932,Platform,Shadow Blade,"Android, iOS",90.0,Crescent Moon Games,2014-01-16
59086,"Point-and-click, Hack and slash/Beat 'em up, Arcade",Teenage Mutant Ninja Turtles: Portal Power,"PC (Microsoft Windows), Mac, Android, iOS",90.0,"Nickelodeon, Red Fly Studio",2016-01-06
22555,"Role-playing (RPG), Tactical, Adventure",Attack the Light!,"Mac, Android, iOS",90.0,"Cartoon Network Games, Grumpyface Studios",2015-04-02
88872,"Racing, Simulator",CarX Drift Racing,"Android, iOS",90.0,CarX Technologies,2013-05-19
89730,"Shooter, Role-playing (RPG), Simulator",Code of War,Android,90.0,XDEVS,2018-02-16
38973,"Role-playing (RPG), Adventure",Beast Quest,"PC (Microsoft Windows), PlayStation 4, Xbox One, Nintendo Switch",90.0,"Torus Games, Maximum Games",2018-03-13
115875,"Shooter, Puzzle, Simulator, Arcade",Nintendo Labo: Toy-Con 04 - VR Kit,Nintendo Switch,90.0,"Nintendo, Nintendo EPD Production Group No. 4",2019-04-12
46747,"Shooter, Adventure",Space Marshals,"Android, iOS, Nintendo Switch",90.0,Pixelbite,2015-01-08
56001,"Role-playing (RPG), Simulator",Love Nikki-Dress UP Queen,"Android, iOS",90.0,"ELEX, Papergames",2017-05-05
87593,Card & Board Game,Extreme Hand and Foot,iOS,90.0,James Swiney,2013-09-18
22338,Platform,Pizza vs. Skeletons,"Mac, iOS",90.0,Riverman Media,2012-02-16
83322,Role-playing (RPG),Tempest: Pirate Action RPG,"Android, iOS, BlackBerry OS",90.0,"HeroCraft, Lion's Shade",2017-04-18
24962,"Simulator, Strategy, Arcade",Atari Flashback Classics Vol. 2,"PlayStation 4, Xbox One",90.0,"Code Mystics, Atari, Inc.",2016-10-11
88547,"Puzzle, Adventure",Criminal Case: Mysteries of the Past,"PC (Microsoft Windows), Android, iOS",90.0,Pretty Simple,2016-11-17
86963,"Puzzle, Adventure",Diggy's Adventure,iOS,90.0,Pixel Federation,2016-09-23
94784,"Shooter, Adventure",Respawnables: Special Forces,"Android, iOS",90.0,Digital Legends Entertainment,2012-12-13
76844,"Platform, Racing, Adventure",Sonic Runners Adventure,"Android, iOS, Legacy Mobile Device",90.0,Gameloft,2017-06-10
14891,"Simulator, Strategy, Turn-based strategy (TBS)",World Conqueror 3,"PC (Microsoft Windows), Android, iOS",90.0,EasyTech,2015-05-05
87669,"Platform, Arcade",Rodeo Stampede: Sky Zoo Safari,"Android, iOS",90.0,Yodo1 Games,2016-06-22
87019,Arcade,Swamp Attack,"Android, iOS",90.0,"Outfit7 Limited, Outfit7 Limited",2014-04-18
87088,Puzzle,Everyday Jigsaw,"PC (Microsoft Windows), Mac, Android, iOS",90.0,KraiSoft,2008-12-31
86863,"Strategy, Arcade",Fish Out of Water!,"Android, iOS",90.0,Halfbrick Studios,2013-04-10
17467,"Shooter, Indie, Arcade",IS Defense,"Linux, PC (Microsoft Windows)",90.0,Destructive Creations,2016-04-19
53128,"Puzzle, Adventure",Weird Park: Scary Tales,"PC (Microsoft Windows), Legacy Mobile Device",90.0,"Alawar Entertainment, Inc",2012-12-13
89766,"Puzzle, Adventure, Indie",The Mystery of Blackthorn Castle,"PC (Microsoft Windows), iOS",90.0,Syntaxity,2015-02-25
83319,"Simulator, Adventure",Gangstar New Orleans,"PC (Microsoft Windows), Android, iOS",90.0,Gameloft,2017-03-29
34266,"Puzzle, Strategy, Adventure",Roads of Rome,"PC (Microsoft Windows), Android",90.0,"Whiterra, Qumaron",2015-10-16
88508,"Racing, Strategy",Top Drives,"Android, iOS",90.0,Hutch,2017-08-29
88928,Strategy,Clue: Classic Mystery Game,iOS,90.0,Marmalade Game Studio,2017-01-09
86933,Strategy,War Machines,"PC (Microsoft Windows), Mac, Android, iOS",90.0,Fun Games For Free,2016-11-16
88158,Simulator,Dog Simulator 2015,"Android, iOS",90.0,Swift Apps LLC,2014-12-17
51378,"Shooter, Adventure",Call of Duty: Black Ops III - Zombies Chronicles Edition,"PC (Microsoft Windows), PlayStation 4, Xbox One",90.0,"Treyarch, Activision",2017-08-29
10175,"Adventure, Indie",Decay: The Mare,"Linux, PC (Microsoft Windows), Mac, Xbox One",90.0,"Daedalic Entertainment, Shining Gate Software",2015-02-13
21099,Puzzle,Tetris Party Deluxe,"Wii, Nintendo DS",90.0,Nintendo,2010-05-25
27258,"Strategy, Turn-based strategy (TBS), Quiz/Trivia, Card & Board Game",Culdcept Revolt,Nintendo 3DS,90.0,"Omiya Soft, Jamsworks, NIS America, Nintendo",2016-07-07
88618,"Sport, Arcade",Air Hockey,Nintendo Switch,90.0,Sabec,2018-02-28
35934,"Simulator, Strategy, Indie",Airships: Conquer the Skies,"Linux, PC (Microsoft Windows), Mac",90.0,"David Stark, David Stark",2018-08-16
23499,"Role-playing (RPG), Hack and slash/Beat 'em up, Indie",Earth's Dawn,"PC (Microsoft Windows), Android, iOS, PlayStation 4, Xbox One, Nintendo Switch",90.0,"OneorEight, Rising Star Games",2015-09-18
90630,"Role-playing (RPG), Strategy, Tactical",Defender's Quest: Valley of the Forgotten DX,"PlayStation Vita, PlayStation 4, Xbox One",90.0,Level Up Labs,2018-02-21
88862,"Simulator, Strategy",Taps to Riches,"Android, iOS",90.0,Game Circus,2016-10-25
86934,"Role-playing (RPG), Simulator",Hotel Hideaway,iOS,90.0,Sulake,2016-11-29
38931,"Shooter, Role-playing (RPG), Strategy, Adventure, Arcade",Xenowerk,"Android, iOS",90.0,Pixelbite,2015-06-17
6838,Adventure,LEGO Friends,Nintendo 3DS,90.0,"TT Games, WB Games",2013-11-12
28763,Adventure,Mystic Journey: Tri Peaks Solitaire,"PC (Microsoft Windows), Mac",90.0,FIVE-BN GAMES,2017-05-11
15841,Shooter,Soldier Blade,"Wii, PlayStation 3, PlayStation Portable, Wii U, PlayStation Vita, TurboGrafx-16/PC Engine",90.0,"Konami, Hudson Soft",1992-07-10
89817,"Puzzle, Arcade",Disney Emoji Blitz,"Android, iOS",90.0,"Disney Mobile, Jam City",2016-07-14
